id,timestamp,text,link,is_retweet,retweets,favorites,replies
681606884290265088,2:45 pm - 28 Dec 2015,Thank you to a #Trump2016 supporter for this video of my campaign- over the past 6 months. Video: https://www.facebook.com/DonaldTrump/posts/10156467989725725:0 …,https://twitter.com/realDonaldTrump/status/681606884290265088,false,1.5K,3.8K,315
681468264615165953,5:34 am - 28 Dec 2015,"Strange, but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes, while he will double & triple them, a disaster!",https://twitter.com/realDonaldTrump/status/681468264615165953,false,3.9K,9.6K,1.9K
681457163492024321,4:50 am - 28 Dec 2015,"Wages in are country are too low, good jobs are too few,  and people have lost faith in our leaders.We need smart and strong leadership now!",https://twitter.com/realDonaldTrump/status/681457163492024321,false,3.6K,9.6K,2.6K
681455081699569664,4:42 am - 28 Dec 2015,"Many of the great jobs that the people of our country want are long gone, shipped to other countries. We now are part time, sad! I WILL FIX!",https://twitter.com/realDonaldTrump/status/681455081699569664,false,2.9K,7.8K,1.1K
681452215614222339,4:30 am - 28 Dec 2015,"The middle-class has worked so hard, are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD",https://twitter.com/realDonaldTrump/status/681452215614222339,false,3.1K,9.0K,777
681447548133965824,4:12 am - 28 Dec 2015,"If Hillary thinks she can unleash her husband, with his terrible record of women abuse, while playing the women's card on me, she's wrong!",https://twitter.com/realDonaldTrump/status/681447548133965824,false,6.6K,15K,2.1K
681309864442859521,7:05 pm - 27 Dec 2015,"""@BornToBeGOP: @realDonaldTrump We need a real President to get things done, and that's why we want you!""  Thank you.",https://twitter.com/realDonaldTrump/status/681309864442859521,false,1.4K,4.8K,545
681309464339832837,7:03 pm - 27 Dec 2015,Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!,https://twitter.com/realDonaldTrump/status/681309464339832837,false,2.1K,6.1K,621
681157406605324288,8:59 am - 27 Dec 2015,Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC,https://twitter.com/realDonaldTrump/status/681157406605324288,false,2.2K,5.4K,955
681156670186192898,8:56 am - 27 Dec 2015,"""@KevJames91: @realDonaldTrump @JebBush @ananavarro @secupp @CNN pic.twitter.com/1Z317atPg2""",https://twitter.com/realDonaldTrump/status/681156670186192898,false,2.4K,5.6K,512
